name,type,start_time,duration,data,error,
Async Serial,data,-0.155899232,8.25E-05,0x00,framing,
Async Serial,data,0.005207144,8.25E-05,0xA0,,
Async Serial,data,0.005293656,8.25E-05,0x12,#NUM!,#NUM!
Async Serial,data,0.005380192,8.25E-05,0x01,,
Async Serial,data,0.005466696,8.25E-05,0x00,,
Async Serial,data,0.005553224,8.25E-05,0x03,,
Async Serial,data,0.005639712,8.25E-05,0x00,,
Async Serial,data,0.005726248,8.25E-05,0x02,,
Async Serial,data,0.005812752,8.25E-05,0x00,,
Async Serial,data,0.00589928,8.25E-05,0x04,,
Async Serial,data,0.005985784,8.25E-05,0x00,,
Async Serial,data,0.006072312,8.25E-05,0x29,,
Async Serial,data,0.006158816,8.25E-05,0x01,,
Async Serial,data,0.006245344,8.25E-05,0x01,,
Async Serial,data,0.006331856,8.25E-05,0x00,,
Async Serial,data,0.006418392,8.25E-05,0x00,,
Async Serial,data,0.006504912,8.25E-05,0x02,,
Async Serial,data,0.006591456,8.25E-05,0x01,,
Async Serial,data,0.006677976,8.25E-05,0x00,,
Async Serial,data,0.006764512,8.25E-05,0x4C,,
Async Serial,data,0.006851032,8.25E-05,0x44,,
Async Serial,data,0.006937576,8.25E-05,0xF1,,
Async Serial,data,0.007024096,8.25E-05,0x7F,,
Async Serial,data,0.019477784,8.25E-05,0x20,,
Async Serial,data,0.01956428,8.25E-05,0x02,,
Async Serial,data,0.0196508,8.25E-05,0x01,,
Async Serial,data,0.019737272,8.25E-05,0x19,,
Async Serial,data,0.019823792,8.25E-05,0x00,,
Async Serial,data,0.019910288,8.25E-05,0x00,,
Async Serial,data,0.034321024,8.25E-05,0x20,,
Async Serial,data,0.03440752,8.25E-05,0x02,,
Async Serial,data,0.034494048,8.25E-05,0x05,,
Async Serial,data,0.034580536,8.25E-05,0x03,,
Async Serial,data,0.034667056,8.25E-05,0x00,,
Async Serial,data,0.03475356,8.25E-05,0x00,,
Async Serial,data,0.039626152,8.25E-05,0xA0,,
Async Serial,data,0.03971264,8.25E-05,0x30,,
Async Serial,data,0.03979916,8.25E-05,0x05,,
Async Serial,data,0.039885656,8.25E-05,0x01,,
Async Serial,data,0.039972176,8.25E-05,0x03,,
Async Serial,data,0.040058664,8.25E-05,0x8C,,
Async Serial,data,0.040145184,8.25E-05,0x6D,,
Async Serial,data,0.04023168,8.25E-05,0x7E,,
Async Serial,data,0.040318192,8.25E-05,0xED,,
Async Serial,data,0.040404672,8.25E-05,0x80,,
Async Serial,data,0.040491184,8.25E-05,0xF5,,
Async Serial,data,0.040577656,8.25E-05,0x01,,
Async Serial,data,0.04066416,8.25E-05,0xFF,,
Async Serial,data,0.040750648,8.25E-05,0x01,,
Async Serial,data,0.040837144,8.25E-05,0x01,,
Async Serial,data,0.040923632,8.25E-05,0xFF,,
Async Serial,data,0.041010152,8.25E-05,0x7F,,
Async Serial,data,0.04109664,8.25E-05,0xBA,,
Async Serial,data,0.04118316,8.25E-05,0x25,,
Async Serial,data,0.041269648,8.25E-05,0x00,,
Async Serial,data,0.041356168,8.25E-05,0x00,,
Async Serial,data,0.041442664,8.25E-05,0x1E,,
Async Serial,data,0.041529184,8.25E-05,0x02,,
Async Serial,data,0.041615672,8.25E-05,0x01,,
Async Serial,data,0.041702184,8.25E-05,0x06,,
Async Serial,data,0.041788672,8.25E-05,0x1A,,
Async Serial,data,0.041875192,8.25E-05,0xFF,,
Async Serial,data,0.04196168,8.25E-05,0x4C,,
Async Serial,data,0.0420482,8.25E-05,0x00,,
Async Serial,data,0.042134696,8.25E-05,0x02,,
Async Serial,data,0.042221208,8.25E-05,0x15,,
